State_Code,PropertyState,Status
12,FL,2
12,FL,2
26,MI,2
26,MI,2
26,MI,2
26,MI,2
18,IN,1
37,NC,2
20,KS,1
6,CA,2
27,MN,2
26,MI,2
26,MI,2
26,MI,2
26,MI,2
26,MI,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
20,KS,2
12,FL,2
12,FL,2
12,FL,2
48,TX,1
48,TX,1
48,TX,1
48,TX,1
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
12,FL,2
53,WA,1
53,WA,1
55,WI,1
6,CA,1
36,NY,1
40,OK,1
40,OK,1
40,OK,1
40,OK,1
6,CA,2
6,CA,2
6,CA,2
6,CA,2
6,CA,2
51,VA,1
24,MD,1
25,MA,2
25,MA,2
25,MA,2
25,MA,2
25,MA,2
36,NY,1
36,NY,1
26,MI,2
26,MI,2
26,MI,2
26,MI,2
26,MI,2
12,FL,1
12,FL,2
12,FL,2
48,TX,1
48,TX,1
48,TX,1
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
37,NC,2
26,MI,2
6,CA,1
6,CA,1
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
18,IN,2
37,NC,1
13,GA,2
13,GA,2
13,GA,2
51,VA,1
34,NJ,1
34,NJ,1
34,NJ,2
34,NJ,2
34,NJ,2
34,NJ,1
34,NJ,1
34,NJ,1
39,OH,1
39,OH,1
26,MI,2
26,MI,2
26,MI,2
48,TX,1
4,AZ,1
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,1
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
4,AZ,2
10,DE,1
48,TX,2
48,TX,2
48,TX,2
48,TX,2
48,TX,2
48,TX,2
48,TX,2
48,TX,2
41,OR,1
34,NJ,1
39,OH,2
39,OH,2
39,OH,2
39,OH,2
34,NJ,1
34,NJ,1
16,ID,1
16,ID,1
45,SC,2
45,SC,2
45,SC,2
45,SC,2
45,SC,2
22,LA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
42,PA,2
32,NV,1
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
32,NV,2
